SCHNAME	N_PUPILS	KS1	KS2	P_SEN
St Godric's Roman Catholic Voluntary Aided Primary School, Thornley	102	16.5	29.8	14
St Helen Auckland Community Primary School	166	15.4	28.4	71
St Hild's College Church of England Aided Primary School, Durham	194	12.7	28.3	51
St John's Church of England Aided Primary School, Shildon	248	13.8	28.7	32
St Joseph's Catholic Primary School, Murton	118	17.0	31.3	0
St Joseph's Roman Catholic Voluntary Aided Primary School, Blackhall	76	15.2	28.2	24
St Joseph's Roman Catholic Voluntary Aided Primary School, Coundon	133	16.1	27.9	26
St Joseph's Roman Catholic Voluntary Aided Primary School, Durham	124	15.6	28.6	21
St Joseph's Roman Catholic Voluntary Aided Primary School, Newton Aycliffe	185	15.9	29.0	26
St Joseph's Roman Catholic Voluntary Aided Primary School, Stanley	202	15.9	29.9	17
St Joseph's Roman Catholic Voluntary Aided Primary School, Ushaw Moor	102	15.6	28.0	36
St Margaret's Church of England Primary School	378	17.8	31.0	8
St Mary Magdalen's Roman Catholic Voluntary Aided Primary School, Seaham	226	14.8	28.2	26
St Mary's Roman Catholic Voluntary Aided Primary School, Barnard Castle	92	17.0	28.9	18
St Mary's Roman Catholic Voluntary Aided Primary School, Blackhill	213	16.1	28.4	22
St Mary's Roman Catholic Voluntary Aided Primary School, Newton Aycliffe	172	13.7	29.2	25
St Mary's Roman Catholic Voluntary Aided Primary School, South Moor	108	12.6	27.8	38
St Michael's CofE Primary School	99	13.2	29.0	42
St Michael's Roman Catholic Voluntary Aided Primary School, Esh Laude	156	16.2	31.0	26
St Patrick's Roman Catholic Voluntary Aided Primary School, Consett	437	14.3	27.7	34
St Patrick's Roman Catholic Voluntary Aided Primary School, Dipton	175	15.9	29.4	11
St Patrick's Roman Catholic Voluntary Aided Primary School, Langley Moor	80	15.1	30.5	11
St Pius X Roman Catholic Voluntary Aided Primary School	87	12.1	26.3	66
St Stephen's Church of England Primary School	242	16.6	30.5	20
St Thomas More Roman Catholic Voluntary Aided Primary	117	15.8	29.5	20
St Wilfrid's Roman Catholic Voluntary Aided Primary School	231	15.6	28.3	27
St William's Roman Catholic Voluntary Aided Primary School	115	16.7	30.0	17
Seaham Trinity Primary School	394	14.2	31.0	28
Seascape Primary School	299	10.9	25.6	59
Seaview Primary School	268	12.7	27.8	22
Sedgefield Hardwick Primary School	230	14.3	31.0	20
Sedgefield Primary School	197	15.8	30.9	15
Sherburn Village Primary School	151	13.7	27.0	37
Shield Row Primary School	167	14.5	28.6	29
Shincliffe CofE (Controlled) Primary School	216	16.7	30.8	19
Shotley Bridge Junior School	138	17.4	30.0	16
Shotton Hall Primary School	376	15.1	29.4	20
Shotton Primary School	415	13.4	28.8	26
Silver Tree Primary School	164	13.3	27.4	34
South Hetton Primary School	249	13.6	28.1	23
South Stanley Junior School	156	14.9	25.8	33
Staindrop CofE (Controlled) Primary School	176	17.0	31.2	15
Stanhope Barrington CofE Primary School	134	14.6	28.7	30
Stanley (Crook) Primary School	84	13.9	31.9	43
Stanley Burnside Primary School	218	12.3	27.3	54
Startforth Morritt Memorial CofE Primary School	59	14.4	27.2	0
Sugar Hill Primary School	418	15.2	27.9	33
Sunnybrow Primary School	72	14.3	30.2	28
Tanfield Lea Community Primary School	229	12.9	27.8	28
Thornhill Primary School	203	16.0	31.1	24
Thornley Primary School	184	15.5	28.9	34
Timothy Hackworth Primary School	430	14.8	27.8	31
Toft Hill Primary School	156	16.0	30.8	26
Tow Law Millennium Primary School	97	15.4	28.5	21
Trimdon Junior School	166	15.9	27.4	34
Vane Road Primary School	334	15.3	28.3	18
West Cornforth Primary School	178	12.4	27.4	75
West Pelton Primary School	58	13.4	27.5	33
West Rainton Primary School	123	12.9	27.4	35
Westlea Primary School	280	15.5	27.6	13
Wheatley Hill Community Primary School	202	13.0	28.0	39
Willington Primary School	236	14.1	26.8	28
Wingate Junior School	178	17.7	28.8	10
Witton Gilbert Primary School	177	15.5	30.0	21
Witton-le-Wear Primary School	79	16.3	30.7	22
Wolsingham Primary School	258	14.3	29.1	9
Woodham Burn Community Primary School	247	15.3	29.1	24
Woodhouse Community Primary School	199	13.2	24.9	58
Woodland Primary School	49	15.0	29.1	43
Woodlea Primary School	248	15.6	29.5	17
Yohden Primary School	182	14.9	29.0	37
Abbey Junior School	361	17.3	30.2	8
Bishopton Redmarshall CofE Primary School	112	16.7	30.5	13
Cockerton Church of England Primary School	210	15.7	28.0	22
Corporation Road Community Primary School	325	14.2	28.7	26
Firthmoor Primary School	324	12.6	27.1	39
Gurney Pease Primary School	177	12.7	27.5	36
Harrowgate Hill Primary School	625	14.9	29.8	11
Heathfield Primary School	490	14.6	28.9	30
Heighington Church of England Primary School	271	16.5	29.9	10
High Coniscliffe CofE Primary School	110	17.2	29.4	26
Holy Family RC Primary School	211	16.5	29.2	6
Hurworth Primary School	212	16.7	30.2	17
Mount Pleasant Primary School	259	13.6	29.3	25
Mowden Junior School	250	17.8	30.7	10
Northwood Primary School	453	14.4	27.0	27
Red Hall Primary School	205	13.3	28.4	62
Reid Street Primary School	411	15.4	29.2	13
St Augustine's RC Primary School	206	15.5	28.3	14
St Bede's RC Primary School	258	16.6	29.5	3
St. George's Church of England Academy	352	14.2	29.8	27
St John's Church of England Academy	249	14.1	29.5	32
St Teresa's RC Primary School	321	15.2	29.5	17
Skerne Park Primary School	375	12.0	26.2	33
Springfield Academy	265	14.7	29.1	20
West Park Academy	461	14.7	29.5	20
Whinfield Primary School	600	15.5	28.7	16
Alfriston School	105	15.9	27.8	20
All Saints' and St Richard's Church of England Primary School	49	16.3	27.9	29
All Saints Church of England Primary School, Bexhill	200	14.1	26.3	36
All Saints CofE Junior School	231	14.3	27.4	30
Annecy Catholic Primary School	197	15.6	29.1	6
Barcombe Church of England Primary School	130	16.1	29.3	17
Battle and Langton Church of England Primary School	440	15.8	28.3	24
Beckley Church of England Primary School	99	16.9	31.0	11
Blackboys Church of England Primary School	103	17.0	30.9	20
Blacklands Primary School	521	14.5	27.4	31
Bodiam Church of England Primary School	73	15.7	30.1	19
Bonners CofE School	108	14.8	28.2	24
Bourne Primary School	490	14.1	26.2	37
Brede Primary School	72	16.2	31.4	10
Broad Oak Community Primary School	146	15.3	29.0	21
Burwash CofE School	159	15.8	30.5	22
Buxted CofE Primary School	153	17.7	31.0	0
Castledown Primary School	413	14.5	27.9	9
Catsfield Church of England Primary School	107	13.3	27.9	38
Chailey St Peter's Church of England Primary School	158	13.5	28.7	25
Chantry Community Primary School	208	16.5	28.7	7
Chiddingly Primary School	55	13.3	22.3	51
Christ Church CofE Primary School	451	14.1	27.7	30
Churchwood Community Primary School	236	14.6	29.4	48
Chyngton School	416	14.8	27.2	33
Cradle Hill Community Primary School	423	14.3	28.3	19
Cross-in-Hand Church of England Primary School	353	15.6	28.8	14
Crowhurst CofE Primary School	112	17.5	29.3	38
Dallington Church of England Primary School	92	15.2	27.3	33
Danehill Church of England Primary School	90	17.3	31.8	50
Denton Community Primary School	189	13.9	26.7	13
Ditchling (St Margaret's) Church of England Primary School	116	15.2	28.2	7
East Hoathly CofE Primary School	79	14.8	29.2	33
Elphinstone Community School	319	14.6	26.3	34
Etchingham Church of England Primary School	99	17.3	31.5	19
Firle Church of England Primary School	82	17.2	31.3	0
Five Ashes CofE Primary School	54	14.8	28.2	21
Fletching Church of England Primary School	77	13.5	26.0	33
Forest Row Church of England Primary School	214	16.0	28.3	12
Framfield Church of England Primary School	80	14.1	26.8	17
Frant Church of England Primary School	115	15.3	31.1	14
Glenleigh Park Academy	210	14.3	25.5	16
Groombridge St Thomas' Church of England Primary School	208	16.6	31.9	11
Grovelands Community Primary School	615	14.9	27.5	21
Guestling Bradshaw Church of England Primary School	209	15.5	28.1	16
Hamsey Community Primary School	83	12.3	27.7	33
Hankham Primary School	136	16.9	29.8	12
Harbour Primary and Nursery School	495	15.2	27.3	30
Harlands Primary School	192	15.5	28.3	30
The Haven Voluntary Aided CofE/Methodist Primary School	308	16.5	29.1	15
Hawkes Farm Primary School	416	15.4	27.9	9
Hellingly Community Primary School	209	13.8	27.7	14
Herne Junior School	175	15.3	27.3	22
Heron Park Academy	309	13.1	25.3	47
Herstmonceux Church of England Primary School	201	15.2	28.7	26
High Hurstwood Church of England Primary School	106	16.8	29.4	19
Hollington Primary School	367	14.1	27.0	40
Holy Cross Church of England Primary School	128	14.6	26.7	30
Hurst Green Church of England Primary School	119	15.2	28.9	31
Icklesham Church of England Primary School	114	14.6	28.0	41
Iford and Kingston Church of England Primary School	147	17.1	30.8	24
Jarvis Brook Primary School	200	15.9	28.5	24
King Offa Academy	283	14.9	26.9	24
Langney Primary School	467	13.9	25.5	26
Laughton Community Primary School	108	16.7	29.2	6
Little Common School	619	15.9	29.6	13
Little Horsted Church of England Primary School	112	17.0	30.3	19
Little Ridge Community Primary School	428	13.7	26.4	24
Manor Primary School	400	16.7	31.1	20
Mark Cross Church of England Aided Primary School	103	14.7	27.5	26
Marshlands Primary School	172	11.7	22.2	45
Mayfield Church of England Primary School	165	15.7	27.4	11
Maynards Green Community Primary School	205	16.2	29.9	18
Meeching Valley Primary School	188	12.9	26.6	44
Meridian Community Primary School	379	15.5	26.5	31
Mountfield and Whatlington Church of England Primary School	54	13.9	28.2	33
Netherfield CofE Primary School	129	15.1	29.4	58
Newick Church of England Primary School	224	16.2	31.3	18
Ninfield Church of England Primary School	173	13.5	27.4	19
Nutley Church of England Primary School	99	14.5	28.2	30
Oakwood Primary Academy	353	13.8	26.6	41
Ocklynge Junior School	838	15.9	28.3	22
Park Mead Primary School	93	17.7	28.3	17
Parkland Junior School	236	14.3	27.3	22
Parkside Community Primary School	178	15.5	28.9	16
Peacehaven Heights Primary School	461	14.5	27.1	10
Peasmarsh Church of England Primary School	84	14.6	25.6	37
Pebsham Community Primary School	206	13.7	26.1	37
Pells Church of England Primary School	89	12.7	25.7	33
Pevensey and Westham CofE Primary School	407	14.4	27.4	18
Plumpton Primary School	110	16.1	28.7	12
Polegate Primary School	412	15.3	28.3	24
Punnetts Town Community Primary School	82	15.2	27.1	16
Red Lake Community Primary School	329	12.6	25.7	44
Ringmer Primary School	233	14.8	27.1	35
Robsack Wood Community Primary School	384	13.0	29.1	32
Rocks Park Primary School	208	15.3	29.0	24
Rodmell Church of England Primary School	64	14.0	25.5	44
Rotherfield Primary School	140	14.3	28.9	34
Rye Community Primary School	304	13.0	25.8	39
Sacred Heart Catholic Primary School, Hastings	226	16.3	29.5	23
St John's Church of England Primary School	205	15.9	29.2	13
St John's Meads Church of England Primary School	217	17.7	29.5	9
St Leonards CofE Primary School	345	14.6	26.8	26
St Mark's Church of England Primary School	81	16.2	29.8	33
St Mary Magdalene Catholic Primary School	236	16.3	29.4	15
St Mary Star of the Sea Catholic Primary School	220	12.6	27.8	42
St Mary the Virgin Church of England Primary School	100	14.0	27.6	29
St Marys Catholic Primary School	184	16.0	26.9	26
St Michael's Church of England Primary School	94	16.8	29.3	24
St Michael's Primary School	96	14.3	27.1	31
St Pancras Catholic Primary School	124	17.5	29.5	32
St Paul's Church of England Primary School	594	15.0	28.5	25
St Peter and St Paul CofE Primary School	381	15.2	28.1	8
St Philip's Catholic Primary School	209	18.1	30.6	12
St Thomas A Becket Catholic Junior School	261	16.7	29.6	12
St Thomas' Church of England Aided Primary School	151	13.2	26.1	22
Salehurst Church of England Primary School	156	15.9	29.6	37
Sandown Primary School	392	14.5	26.4	39
Seaford Primary School	415	15.7	28.8	12
Sedlescombe CofE Primary School	212	15.5	28.7	29
Shinewater Primary School	407	13.7	27.0	52
Silverdale Primary School	616	14.9	28.4	21
Sir Henry Fermor Church of England Primary School	411	16.0	27.0	30
South Malling CofE Primary School	247	15.6	30.0	19
Southover CofE Primary School	325	16.8	30.7	17
Stafford Junior School	385	17.8	28.9	19
Staplecross Methodist Primary School	66	15.9	29.3	17
Stone Cross School	418	15.5	28.2	20
Stonegate Church of England Primary School	106	16.7	30.1	7
Telscombe Cliffs Community Primary School	521	14.6	27.5	22
Ticehurst and Flimwell Church of England Primary School	148	15.1	27.0	17
Tollgate Community Junior School	371	16.2	29.1	14
Wadhurst CofE Primary School	323	16.3	30.2	15
Wallands Community Primary School	477	15.7	28.9	38
West Rise Junior School	233	15.4	28.4	20
West St Leonards Primary School	388	15.5	27.8	22
Western Road Community Primary School	203	16.4	27.2	30
Westfield School	219	15.3	28.3	40
White House Primary School	157	11.1	23.3	46
Willingdon Primary School	422	14.8	27.5	17
Wivelsfield Primary School	145	16.1	30.1	15
Aldrington CofE Primary School	217	16.4	28.5	18
Balfour Primary School	868	17.3	30.4	9
Benfield Primary School	347	14.9	28.5	41
Bevendean Primary School	402	14.0	27.8	28
Carden Primary School	407	14.2	27.9	56
Carlton Hill Primary School	210	13.4	29.1	53
Coldean Primary School	350	13.3	26.4	54
Coombe Road Primary School	317	15.8	28.3	41
Cottesmore St Mary's Catholic Primary School	436	16.4	30.8	10
Downs Junior School	504	17.4	30.0	16
Elm Grove Primary School	426	16.1	28.4	24
Fairlight Primary School	382	14.4	28.0	31
Goldstone Primary School	593	15.5	29.5	34
Hangleton Junior School	382	15.6	29.1	27
Hertford Junior School	148	14.8	28.2	30
Middle Street Primary School	241	14.9	28.9	19
Mile Oak Primary School	526	14.2	27.9	18
Moulsecoomb Primary School	308	11.9	26.1	94
Our Lady of Lourdes RC School	210	16.9	29.9	39
Patcham Junior School	368	17.3	29.1	21
Peter Gladwin Primary School	213	15.3	29.0	29
Queen's Park Primary School	395	16.6	28.8	17
Rudyard Kipling Primary School	358	14.4	29.4	15
St Andrew's CofE (Aided) Primary School	465	15.9	30.2	32
St Bartholomew's CofE Primary School	200	13.0	25.2	44
St Bernadette's Catholic Primary School	215	17.4	30.1	12
St John the Baptist Catholic Primary School	209	15.0	29.1	7
St Joseph's Catholic Primary School	175	12.7	27.9	55
St Luke's Primary School	626	16.0	30.0	34
St Margaret's CofE Primary School, Rottingdean	202	15.6	28.3	16
St Mark's CofE Primary School	208	13.5	25.8	32
St Martin's CofE Primary School	237	13.1	26.6	44
St Mary Magdalen Catholic Primary School	239	12.7	25.7	37
St Mary's Catholic Primary School	212	15.6	29.5	6
St Nicolas' CofE Primary School	239	15.8	28.4	10
St Paul's CofE Primary School and Nursery	229	16.4	30.1	25
Saltdean Primary School	411	14.1	29.9	33
Somerhill Junior School	445	17.0	28.3	17
Stanford Junior School	378	16.7	30.3	15
West Blatchington Primary and Nursery School	416	12.1	26.5	39
West Hove Junior School	501	17.4	30.0	20
Westdene Primary School	599	17.3	31.1	19
Whitehawk Primary School	328	11.4	23.9	54
Woodingdean Primary School	422	13.5	27.4	51
Abbotswood Junior School	593	16.2	27.4	17
Abbotts Ann Church of England Primary School	102	17.1	28.5	18
All Saints Church of England Aided Junior School	404	16.5	30.7	13
All Saints Church of England Primary School	152	15.8	29.6	25
Alverstoke Church of England Aided Junior School	268	16.8	29.1	15
Amport Church of England Primary School	81	16.3	31.5	0
Andover Church of England Primary School	175	16.2	29.0	30
Andrews' Endowed Church of England Primary School	196	16.1	29.2	34
Anstey Junior School	222	16.2	27.6	37
Anton Junior School	259	15.8	29.3	16
Appleshaw St Peter's CofE Primary School	95	15.6	28.8	15
Ashford Hill Primary School	139	16.0	29.8	21
Ashley Junior School	239	15.9	28.9	17
Awbridge Primary School	124	15.5	28.7	10
Balksbury Junior School	311	16.9	28.2	17
Barncroft Primary School	369	14.1	26.3	55
Bartley Church of England Junior School	348	15.0	27.5	24
Barton Stacey Church of England Primary School	106	16.6	28.0	14
Beaulieu Village Primary School	108	15.3	28.2	27
Bedenham Primary School	259	14.0	26.2	33
Bentley Church of England Primary School	215	16.6	31.4	7
Berrywood Primary School	622	16.2	29.3	12
Bidbury Junior School	179	14.3	28.1	52
Binsted Church of England Primary School	74	16.6	29.6	0
Bishop's Waltham Junior School	221	16.2	28.4	17
Bishopswood Junior School	230	16.2	28.7	23
Blackfield Primary School	542	15.3	27.9	29
Bordon Junior School	220	14.6	27.5	35
Bosmere Junior School	353	15.8	28.6	24
Botley Church of England Controlled Primary School	299	16.0	30.2	22
Braishfield Primary School	90	17.8	31.1	0
Bramley Church of England Primary School	409	17.0	28.4	8
Bransgore Church of England Primary School	334	16.1	30.5	14
Breamore Church of England Primary School	91	17.2	31.3	8
Brockenhurst Church of England Primary School	208	16.9	30.3	14
Brockhurst Junior School	164	14.5	26.9	10
Burghclere Primary School	113	16.0	28.9	8
Buriton Primary School	100	18.0	30.4	20
Burley Primary School	103	16.9	30.4	0
Burnham Copse Primary School	238	15.1	28.8	16
Bursledon Junior School	212	14.4	29.7	22
The Butts Primary School	232	15.3	28.7	21
Cadland Primary School	350	15.7	28.4	6
Calmore Junior School	202	16.1	27.0	19
Castle Hill Junior School	253	17.5	29.0	19
Castle Primary School	408	16.9	29.1	9
Chalk Ridge Primary School	393	15.7	27.8	6
Charles Kingsley's Church of England Primary School	218	16.9	31.0	6
Chawton Church of England Primary School	138	15.6	30.0	21
Cherbourg Primary School	355	13.7	26.9	45
Cheriton Primary School	104	16.9	31.2	23
Cherrywood Community Primary School	186	14.0	26.8	17
Chiltern Primary School	250	13.4	26.7	25
Church Crookham Junior School	375	16.2	29.3	16
Clanfield Junior School	282	16.2	27.5	31
Clatford Church of England Primary School	208	15.5	31.5	20
Cliddesden Primary School	115	16.5	30.6	0
Colden Common Primary School	269	16.8	30.8	20
